Date,Price,Open,High,Low,Vol.,Change %
06/20/2019,24988.5,24491.0,25026.7,24414.4,1.44M,2.03%
06/21/2019,24873.7,25026.7,25218.1,24835.4,630.94K,-0.46%
06/24/2019,24950.2,24988.5,25256.3,24797.1,943.43K,0.31%
06/25/2019,24567.5,24950.2,25026.7,24567.5,923.72K,-1.53%
06/26/2019,24873.7,24491.0,24911.9,24414.4,1.32M,1.25%
06/27/2019,24491.0,24835.4,24835.4,24491.0,836.14K,-1.54%
06/28/2019,24261.4,24491.0,24644.1,24031.8,821.52K,-0.94%
07/01/2019,24758.9,24644.1,24873.7,24567.5,692.29K,2.05%
07/02/2019,24529.3,24567.5,24797.1,24529.3,571.93K,-0.93%
07/03/2019,24567.5,24491.0,24797.1,24491.0,515.51K,0.16%
07/04/2019,25103.3,24797.1,25141.5,24644.1,1.44M,2.18%
07/05/2019,25103.3,24988.5,25409.4,24950.2,1.52M,0.00%
07/08/2019,24911.9,25179.8,25179.8,24797.1,709.57K,-0.76%
07/09/2019,24950.2,24797.1,25026.7,24797.1,507.71K,0.15%
07/10/2019,24797.1,24950.2,25141.5,24797.1,879.25K,-0.61%
07/11/2019,25600.7,24950.2,25639.0,24797.1,3.10M,3.24%
07/12/2019,25562.5,25639.0,25868.6,25485.9,1.78M,-0.15%
07/15/2019,25485.9,25485.9,25639.0,25447.7,1.15M,-0.30%
07/16/2019,26442.6,25600.7,26442.6,25600.7,4.14M,3.75%
07/17/2019,26442.6,26404.3,26710.5,26213.0,1.95M,0.00%
07/18/2019,26557.4,26366.1,26557.4,26174.7,1.81M,0.43%
07/19/2019,26710.5,26787.0,27093.2,26557.4,2.15M,0.58%
07/22/2019,27361.0,26940.1,27514.1,26787.0,3.60M,2.44%
07/23/2019,26978.3,27361.0,27361.0,26557.4,2.68M,-1.40%
07/24/2019,26366.1,27093.2,27093.2,26174.7,2.37M,-2.27%
07/25/2019,26940.1,26251.3,26940.1,26251.3,1.66M,2.18%
